,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
72,elu,14,5,glorot_normal,reduce_max,2402,ER,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.6021543741226196,0.0090843858197331,0.0324906595051288,0.5591275095939636
73,elu,14,5,glorot_normal,reduce_max,2403,ER,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.6940885186195374,0.0099636204540729,0.0377149768173694,0.6123040914535522
74,elu,14,5,glorot_normal,reduce_max,2404,ER,EWGINN,14,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.7003978490829468,0.0096903452649712,0.0369694717228412,0.5975358486175537
75,elu,19,5,glorot_normal,reduce_max,2400,ER,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.317075490951538,0.0199467111378908,0.069169282913208,1.2257758378982544
76,elu,19,5,glorot_normal,reduce_max,2401,ER,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.3171637058258057,0.0199447479099035,0.0692083612084388,1.2256563901901243
77,elu,19,5,glorot_normal,reduce_max,2402,ER,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.317659616470337,0.0199508089572191,0.0691195949912071,1.2260627746582031
78,elu,19,5,glorot_normal,reduce_max,2403,ER,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.3176186084747314,0.0199521332979202,0.0691798701882362,1.2260949611663818
79,elu,19,5,glorot_normal,reduce_max,2404,ER,EWGINN,15,32,5000,2,Adam,mse,200,550,50,0.5,277710,190,277900,2.317891359329224,0.0199492089450359,0.0688585937023162,1.2262320518493652
80,elu,4,5,glorot_normal,reduce_mean,2400,ER,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.234494000673294,0.005386081058532,0.025142440572381,0.3311426639556885
81,elu,4,5,glorot_normal,reduce_mean,2401,ER,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2534885704517364,0.0056462194770574,0.0240221917629241,0.3470829129219055
82,elu,4,5,glorot_normal,reduce_mean,2402,ER,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2908776998519897,0.0060932706110179,0.0265288390219211,0.3748239874839782
83,elu,4,5,glorot_normal,reduce_mean,2403,ER,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2762024700641632,0.0058366344310343,0.0288354028016328,0.3584528267383575
84,elu,4,5,glorot_normal,reduce_mean,2404,ER,EWGINN,16,32,5000,2,Adam,mse,200,550,50,0.5,55635,40,55675,0.2488397657871246,0.0055890781804919,0.0273397453129291,0.3435116410255432
85,elu,9,5,glorot_normal,reduce_mean,2400,ER,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.2994929254055023,0.0059713167138397,0.0257174335420131,0.3674405813217163
86,elu,9,5,glorot_normal,reduce_mean,2401,ER,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.2735123336315155,0.0055979150347411,0.0239656958729028,0.3443674445152282
87,elu,9,5,glorot_normal,reduce_mean,2402,ER,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3321973383426666,0.0063104578293859,0.0275627970695495,0.3881891667842865
88,elu,9,5,glorot_normal,reduce_mean,2404,ER,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3106916844844818,0.0061719133518636,0.0264540631324052,0.379662424325943
89,elu,9,5,glorot_normal,reduce_mean,2403,ER,EWGINN,17,32,5000,2,Adam,mse,200,550,50,0.5,129660,90,129750,0.3058148622512817,0.0060149594210088,0.025861220434308,0.3697630167007446
90,elu,14,5,glorot_normal,reduce_mean,2400,ER,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,2.317641496658325,0.0199430827051401,0.0690898820757865,1.2256181240081787
91,elu,14,5,glorot_normal,reduce_mean,2401,ER,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,0.7666401267051697,0.0107389530166983,0.0371421873569488,0.6599432229995728
92,elu,14,5,glorot_normal,reduce_mean,2402,ER,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,2.318478584289551,0.019942257553339,0.068876527249813,1.2257673740386963
93,elu,14,5,glorot_normal,reduce_mean,2403,ER,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,2.3180227279663086,0.0199434477835893,0.0688395276665687,1.2259010076522827
94,elu,14,5,glorot_normal,reduce_mean,2404,ER,EWGINN,18,32,5000,2,Adam,mse,200,550,50,0.5,203685,140,203825,2.317831993103028,0.019948836416006,0.0689073204994201,1.226144790649414
